time,expected_pnl,is_bid,market,price,size_base,size_usd,total_cost,total_units,rolling_pnl
2026-04-05 00:01:24.682485144,0.003820139096814298,True,MONUSDC,0.02720599994779262,4331.909146003,117.84959,-6875.663633000002,-252795.2027833733,-1.882640726676982
2026-04-05 00:01:33.926429588,0.00440904087727343,True,MONUSDC,0.027206,5000.0,136.025,-6739.633633000002,-247795.2027833733,-1.8826539244519154
2026-04-05 00:01:45.164765113,0.003074716018966225,True,MONUSDC,0.02720499992681942,4331.909146003,117.84959,-6621.784045000002,-243463.2936373703,-1.6348405878725316
2026-04-05 00:01:47.168524318,0.000687629486174168,True,MONUSDC,0.027205,3000.0,81.615,-6540.169045000002,-240463.2936373703,-1.6348584046572796
2026-04-05 00:01:52.794367881,0.0006876294861845764,True,MONUSDC,0.027205,3000.0,81.615,-6458.554045000003,-237463.2936373703,-1.6348584046563701
2026-04-05 00:02:02.420187612,0.0014653759841093262,False,MONUSDC,0.027189999772947962,4404.2706877528,119.77414,-6578.306164000002,-241867.56432512312,1.9271449164280057
2026-04-05 00:02:10.451708209,-0.001008285983101384,False,MONUSDC,0.0271949995608851,2277.3067107924,61.93136,-6640.237519000002,-244144.8710359155,0.7178583859304126
2026-04-05 00:02:29.706053427,0.02109770599828525,False,MONUSDC,0.02718599991597943,11901.844258074,323.67065,-6963.801056000002,-256046.71529398952,2.915075530793729
2026-04-05 00:02:30.102937705,0.004183206189031774,False,MONUSDC,0.02718599957632987,2360.3237328036,64.189,-7027.968816000002,-258407.03902679312,2.915162496948142
2026-04-05 00:02:30.102950815,0.004706559569787948,False,MONUSDC,0.027185999623430344,2655.5487751048,72.21765,-7100.162564000002,-261062.58780189793,2.915150325853574
2026-04-05 00:02:30.517718469,0.0009120282259990738,False,MONUSDC,0.027185998058768625,515.1367247848,14.00657,-7114.167070000002,-261577.72452668272,2.9155588004914534
2026-04-05 00:02:32.521649174,-1.439098140895489,False,MONUSDC,0.027185999976469876,42498.6789156183,1156.60155,-8269.536154000001,-304076.40344230103,2.9150571725604095
2026-04-05 00:02:32.917823516,0.018802980311339975,True,MONUSDC,0.02720999948504741,1905.6489886556,51.86224,-8217.683446000001,-302170.75445364544,-4.382627080078237
